"attributes","Id","Name","Amount","StageName","AccountId","OwnerId"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0LAAQ""}","0063h000008wq0LAAQ","Opportunity for Gomez694",452200,"Closed Lost","0013h00000Ffg74AAB","0053h000003de72AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0MAAQ""}","0063h000008wq0MAAQ","Opportunity for McKenzie695",538820,"Closed Lost","0013h00000FfgCAAAZ","0053h000003de7DAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0NAAQ""}","0063h000008wq0NAAQ","Opportunity for Malone696",137400,"Negotiation/Review","0013h00000FffzAAAR","0053h000003de74AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0PAAQ""}","0063h000008wq0PAAQ","Opportunity for Ingram699",2669875,"Closed Lost","0013h00000FfgAxAAJ","0053h000003de7BAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq0RAAQ""}","0063h000008wq0RAAQ","Opportunity for Swanson1068",248276,"Negotiation/Review","0013h00000Ffg9LAAR","0053h000003de6xAAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1XAAQ""}","0063h000008wq1XAAQ","Opportunity for Harmon1481",1738370,"Closed Won","0013h00000Fffy5AAB","0053h000003de72AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1YAAQ""}","0063h000008wq1YAAQ","Opportunity for Reed1483",1755000,"Closed Won","0013h00000Ffg0dAAB","0053h000003de7DAAQ"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1aAAA""}","0063h000008wq1aAAA","Opportunity for Klein1486",431073,"Prospecting","0013h00000FffwRAAR","0053h000003de75AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1bAAA""}","0063h000008wq1bAAA","Opportunity for Stone1492",3163400,"Closed Lost","0013h00000Ffg89AAB","0053h000003de71AAA"
"{""type"":""Opportunity"",""url"":""/services/data/v54.0/sobjects/Opportunity/0063h000008wq1cAAA""}","0063h000008wq1cAAA","Opportunity for Barnes1852",1635400,"Closed Lost","0013h00000Ffg3NAAR","0053h000003de6wAAA"
